,EquationNumber,Equation,AnswerIsCorrect,Answer,CorrectAnswer
0,eq_0.jpeg,37x - 73,1,2.19,2.19
1,eq_1.jpeg,-6x - 72,1,-2.17,-2.17
2,eq_2.jpeg,-45x + 80,1,2.53,2.53
3,eq_3.jpeg,94x + 21,0,-69,0.82
4,eq_4.jpeg,-13x + 9,1,4.31,4.31
5,eq_5.jpeg,-57x + 17,1,0.11,0.11
6,eq_6.jpeg,-99x - 75,0,-37,-1.43
7,eq_7.jpeg,64x - 37,1,-0.62,-0.62
8,eq_8.jpeg,3x + 76,0,64,-17.0
9,eq_9.jpeg,38x - 31,0,-54,2.42
10,eq_10.jpeg,-9x + 6,0,70,8.78
11,eq_11.jpeg,-71x - 97,0,68,-1.45
12,eq_12.jpeg,-51x - 59,0,-16,-3.1
13,eq_13.jpeg,7x + 99,1,-22.57,-22.57
14,eq_14.jpeg,-43x + 91,0,54,4.33
15,eq_15.jpeg,83x + 48,0,-33,-0.66
16,eq_16.jpeg,86x + 61,1,-0.16,-0.16
17,eq_17.jpeg,68x + 33,1,-0.41,-0.41
18,eq_18.jpeg,28x + 90,0,-87,-3.82
19,eq_19.jpeg,-87x - 50,1,-1.2,-1.2
20,eq_20.jpeg,78x + 94,1,-1.15,-1.15
21,eq_21.jpeg,-32x - 95,1,-2.56,-2.56
22,eq_22.jpeg,29x - 31,0,98,-1.31
23,eq_23.jpeg,60x + 36,0,-10,-1.17
24,eq_24.jpeg,-87x - 9,0,2,-0.59
25,eq_25.jpeg,48x - 14,1,-0.52,-0.52
26,eq_26.jpeg,-3x + 32,1,-12.67,-12.67
27,eq_27.jpeg,-6x - 11,0,-43,14.33
28,eq_28.jpeg,-31x - 58,1,-1.23,-1.23
29,eq_29.jpeg,45x - 98,0,41,1.04
30,eq_30.jpeg,-88x + 12,0,-22,0.23
31,eq_31.jpeg,-93x - 1,0,46,-0.63
32,eq_32.jpeg,59x + 40,1,-1.41,-1.41
33,eq_33.jpeg,18x - 62,0,-31,6.67
34,eq_34.jpeg,-81x + 52,0,83,1.79
35,eq_35.jpeg,99x + 57,0,-4,-0.85
36,eq_36.jpeg,5x + 59,0,57,-14.4
37,eq_37.jpeg,-99x - 33,0,8,-1.14
38,eq_38.jpeg,79x - 91,0,-60,1.53
39,eq_39.jpeg,-33x + 11,1,1.24,1.24
40,eq_40.jpeg,-33x - 39,0,32,-3.18
41,eq_41.jpeg,-90x + 75,0,25,0.63
42,eq_42.jpeg,-82x + 84,1,1.68,1.68
43,eq_43.jpeg,-58x - 95,0,-51,-0.17
44,eq_44.jpeg,22x - 33,0,54,-0.68
45,eq_45.jpeg,71x + 56,1,-0.59,-0.59
46,eq_46.jpeg,-92x + 20,1,0.66,0.66
47,eq_47.jpeg,15x - 67,1,-1.33,-1.33
48,eq_48.jpeg,-53x + 58,0,79,0.3
49,eq_49.jpeg,-49x - 47,0,88,0.12
50,eq_50.jpeg,20x - 17,1,3.7,3.7
51,eq_51.jpeg,61x + 74,0,67,0.3
52,eq_52.jpeg,47x - 86,0,60,1.43
53,eq_53.jpeg,-27x + 99,0,59,6.0
54,eq_54.jpeg,76x - 94,0,-75,0.76
55,eq_55.jpeg,-3x - 46,1,-45.33,-45.33
56,eq_56.jpeg,9x + 13,0,72,1.89
57,eq_57.jpeg,-67x + 94,0,-78,2.16
58,eq_58.jpeg,97x - 20,1,0.33,0.33
59,eq_59.jpeg,79x - 79,0,34,-0.15
60,eq_60.jpeg,33x - 66,1,3.06,3.06
61,eq_61.jpeg,-47x - 12,1,-2.32,-2.32
62,eq_62.jpeg,18x - 57,1,3.5,3.5
63,eq_63.jpeg,-69x - 98,1,-1.8,-1.8
64,eq_64.jpeg,24x + 72,1,-4.08,-4.08
65,eq_65.jpeg,2x - 95,0,92,94.0
66,eq_66.jpeg,-75x - 83,0,84,0.04
67,eq_67.jpeg,25x - 82,1,7.04,7.04
68,eq_68.jpeg,-9x - 1,0,6,9.89
69,eq_69.jpeg,74x - 39,0,92,0.43
70,eq_70.jpeg,94x + 89,1,-0.34,-0.34
71,eq_71.jpeg,32x - 48,0,88,0.34
72,eq_72.jpeg,36x - 43,1,1.44,1.44
73,eq_73.jpeg,-16x + 19,0,94,2.5
74,eq_74.jpeg,87x + 21,1,-0.82,-0.82
75,eq_75.jpeg,29x - 91,1,3.31,3.31
76,eq_76.jpeg,55x - 57,0,-42,1.07
77,eq_77.jpeg,-31x + 93,1,3.19,3.19
78,eq_78.jpeg,-74x + 30,0,85,1.58
79,eq_79.jpeg,-61x - 52,0,-24,-0.66
80,eq_80.jpeg,72x + 68,0,-95,-1.6
81,eq_81.jpeg,24x - 28,1,1.12,1.12
82,eq_82.jpeg,93x - 36,1,-0.06,-0.06
83,eq_83.jpeg,4x + 64,0,-96,-14.25
84,eq_84.jpeg,44x + 51,0,-42,-1.05
85,eq_85.jpeg,65x + 77,1,0.03,0.03
86,eq_86.jpeg,50x - 27,1,2.44,2.44
87,eq_87.jpeg,21x + 69,0,75,-1.57
88,eq_88.jpeg,58x - 48,1,0.79,0.79
89,eq_89.jpeg,-12x - 61,0,-79,-13.08
90,eq_90.jpeg,31x - 51,0,77,1.32
91,eq_91.jpeg,67x + 36,0,-22,-1.31
92,eq_92.jpeg,22x - 44,0,64,3.86
93,eq_93.jpeg,-17x + 89,0,11,-0.29
94,eq_94.jpeg,63x + 90,0,3,-2.65
95,eq_95.jpeg,-77x - 83,1,-0.29,-0.29
96,eq_96.jpeg,-80x + 1,0,87,0.65
97,eq_97.jpeg,-24x + 98,1,7.83,7.83
98,eq_98.jpeg,41x - 61,1,0.2,0.2
99,eq_99.jpeg,-62x - 6,1,-1.53,-1.53
100,eq_100.jpeg,-98x - 80,1,-0.1,-0.1
101,eq_101.jpeg,-71x - 51,0,-76,-0.15
102,eq_102.jpeg,51x - 73,0,66,1.8
103,eq_103.jpeg,14x + 62,1,-2.64,-2.64
104,eq_104.jpeg,30x + 10,1,2.27,2.27
105,eq_105.jpeg,-21x - 20,1,3.43,3.43
106,eq_106.jpeg,5x + 42,1,10.0,10.0
107,eq_107.jpeg,-89x - 48,1,0.35,0.35
108,eq_108.jpeg,-68x - 37,0,96,-1.84
109,eq_109.jpeg,23x - 41,0,83,1.0
110,eq_110.jpeg,-27x - 91,1,-6.7,-6.7
